,volcano,hazard,VEI,prob,mass,buffer,volume,length_primary,length_unclassified,length_residential,length_service,length_living_street,length_tertiary,length_secondary,length_trunk,length_trunk_link,length_primary_link,length_tertiary_link,length_motorway,length_motorway_link,length_secondary_link,length_road,month,length_motorcycle_link
10,Cereme,Tephra,4.0,90,1.0,,,356.22,3490.43,12294.89,859.58,25.31,801.92,318.95,272.26,2.37,2.36,0.52,147.16,30.27,0.28,,4,
11,Cereme,Tephra,4.0,90,100.0,,,55.03,239.39,584.94,35.45,,77.71,1.74,,,0.01,,,,,,4,
12,Cereme,Tephra,5.0,10,1.0,,,3629.6,27673.77,102966.56,14692.55,3098.01,9733.29,3504.42,2918.38,63.29,58.72,15.8,1519.05,537.99,19.68,4.08,4,
13,Cereme,Tephra,5.0,10,100.0,,,378.24,3234.79,13194.27,950.31,40.02,814.28,357.26,253.03,2.62,0.65,0.18,124.14,17.11,0.59,,4,
14,Cereme,Tephra,5.0,50,1.0,,,3489.16,26130.52,95362.24,13894.84,3098.68,8291.61,3091.65,2402.67,61.69,59.12,15.61,1415.64,501.2,19.36,4.08,4,
15,Cereme,Tephra,5.0,50,100.0,,,277.65,2041.11,7979.97,493.5,8.21,516.13,217.39,192.04,1.58,0.21,0.02,74.31,13.82,0.14,,4,
16,Cereme,Tephra,5.0,90,1.0,,,2244.61,20947.04,69167.83,8719.28,1177.6,5985.31,1915.77,1676.25,21.04,21.45,7.24,949.23,311.52,7.51,0.01,4,
17,Cereme,Tephra,5.0,90,100.0,,,195.95,1221.55,4625.81,217.07,3.88,278.52,104.62,94.45,0.1,0.08,0.02,55.38,7.95,,,4,
0,Cereme,Tephra,3.0,10,1.0,,,219.09,1142.46,4290.21,215.42,9.4,272.21,90.87,37.65,0.1,0.34,0.02,,,,,5,
1,Cereme,Tephra,3.0,10,100.0,,,,22.65,44.89,3.37,,,,,,,,,,,,5,
2,Cereme,Tephra,3.0,50,1.0,,,144.63,584.37,2032.49,107.41,4.79,159.16,41.54,,,0.03,,,,,,5,
3,Cereme,Tephra,3.0,50,100.0,,,,16.84,23.05,3.29,,,,,,,,,,,,5,
4,Cereme,Tephra,3.0,90,1.0,,,69.94,288.26,774.05,43.41,0.09,72.28,15.38,,,,,,,,,5,
5,Cereme,Tephra,3.0,90,100.0,,,,,6.04,,,,,,,,,,,,,5,
6,Cereme,Tephra,4.0,10,1.0,,,742.01,7393.56,23851.81,1851.41,212.38,1752.13,669.37,602.16,6.79,7.52,0.92,289.97,56.82,1.38,,5,
7,Cereme,Tephra,4.0,10,100.0,,,147.99,609.19,2158.45,117.98,4.94,151.45,33.02,,,0.17,,,,,,5,
8,Cereme,Tephra,4.0,50,1.0,,,439.82,4482.51,15474.97,1047.32,54.96,1005.48,371.41,368.69,3.77,2.84,0.55,186.79,38.76,0.6,,5,
9,Cereme,Tephra,4.0,50,100.0,,,73.5,292.16,846.83,54.57,1.55,86.98,17.64,,,,,,,,,5,
10,Cereme,Tephra,4.0,90,1.0,,,316.43,2459.22,8704.0,468.17,20.62,505.36,230.31,162.8,0.58,2.06,0.34,114.29,23.54,0.27,,5,
11,Cereme,Tephra,4.0,90,100.0,,,34.1,122.13,287.15,16.81,,34.61,,,,,,,,,,5,
12,Cereme,Tephra,5.0,10,1.0,,,3578.66,26845.21,100695.51,13857.37,3088.76,9913.11,3641.08,2725.35,60.63,57.66,15.22,1427.97,518.17,19.15,4.08,5,
13,Cereme,Tephra,5.0,10,100.0,,,421.75,3769.49,15319.11,1042.29,44.34,1027.52,360.32,338.32,4.19,2.17,0.47,163.4,30.77,0.6,,5,
14,Cereme,Tephra,5.0,50,1.0,,,2658.54,23973.44,85225.05,9668.92,1431.03,8368.82,2705.87,2347.86,26.23,23.13,7.79,1152.82,369.14,8.06,4.08,5,
15,Cereme,Tephra,5.0,50,100.0,,,273.37,1832.54,7106.91,331.52,11.07,380.37,172.49,103.72,0.1,0.38,0.04,34.87,7.49,,,5,
16,Cereme,Tephra,5.0,90,1.0,,,1679.15,17532.41,44962.45,4069.26,324.47,3710.34,1047.05,1258.89,12.08,9.5,2.74,583.4,126.13,2.09,2.38,5,
17,Cereme,Tephra,5.0,90,100.0,,,172.26,863.79,3354.91,160.47,5.12,190.77,78.81,47.76,0.1,0.03,0.01,,,,,5,
0,Cereme,Tephra,3.0,10,1.0,,,148.33,788.34,3096.22,148.29,2.42,223.88,78.41,46.86,,0.02,,,,,,6,
1,Cereme,Tephra,3.0,10,100.0,,,,25.73,47.07,3.49,,10.28,,,,,,,,,,6,
2,Cereme,Tephra,3.0,50,1.0,,,125.42,586.98,2185.52,102.66,1.12,189.81,44.92,23.67,,0.01,,,,,,6,
3,Cereme,Tephra,3.0,50,100.0,,,,22.65,42.31,3.37,,,,,,,,,,,,6,
4,Cereme,Tephra,3.0,90,1.0,,,117.58,444.53,1511.37,67.26,1.12,150.2,37.11,15.88,,0.01,,,,,,6,
5,Cereme,Tephra,3.0,90,100.0,,,,16.84,33.95,3.29,,,,,,,,,,,,6,
6,Cereme,Tephra,4.0,10,1.0,,,769.62,6675.32,25374.33,2253.65,191.0,1808.39,791.57,490.46,5.55,8.22,1.81,298.68,77.84,1.57,,6,
7,Cereme,Tephra,4.0,10,100.0,,,122.93,443.99,1450.45,66.34,0.6,142.56,34.18,,,0.01,,,,,,6,
8,Cereme,Tephra,4.0,50,1.0,,,636.62,4304.51,18419.43,1590.66,148.45,1237.95,668.85,317.48,3.71,6.87,0.83,179.3,49.33,1.17,,6,
9,Cereme,Tephra,4.0,50,100.0,,,70.22,327.44,1000.92,37.74,,120.76,13.69,,,,,,,,,6,
10,Cereme,Tephra,4.0,90,1.0,,,304.27,2543.03,10700.46,726.04,21.79,737.99,355.17,216.76,2.18,0.84,0.42,75.91,8.35,0.43,,6,
11,Cereme,Tephra,4.0,90,100.0,,,54.92,236.5,639.25,21.7,,86.84,,,,,,,,,,6,
12,Cereme,Tephra,5.0,10,1.0,,,3544.51,26951.81,99673.71,13649.36,3073.2,9912.26,3585.94,2826.08,62.16,58.01,15.21,1493.31,520.17,18.93,4.08,6,
13,Cereme,Tephra,5.0,10,100.0,,,466.99,3491.03,15364.2,1118.54,59.11,989.96,429.14,243.11,2.65,1.86,0.49,93.53,23.46,0.82,,6,
14,Cereme,Tephra,5.0,50,1.0,,,2886.93,22868.53,78857.67,10285.14,2022.23,6685.9,2348.81,1926.9,39.61,39.4,9.19,1135.88,394.26,11.33,2.38,6,
15,Cereme,Tephra,5.0,50,100.0,,,270.46,1864.16,8309.83,534.22,9.63,601.15,223.69,187.24,1.86,0.26,0.19,,,0.01,,6,
16,Cereme,Tephra,5.0,90,1.0,,,1912.13,16132.57,52638.0,7309.33,600.62,4900.19,1654.99,1178.7,11.65,13.24,6.61,781.77,228.3,5.76,0.01,6,
17,Cereme,Tephra,5.0,90,100.0,,,174.08,1021.8,4198.41,163.89,1.21,310.44,112.38,104.62,0.55,0.13,,,,,,6,
0,Cereme,Tephra,3.0,10,1.0,,,169.01,866.63,3403.95,160.2,1.12,294.77,75.11,85.77,0.78,0.06,,,,,,7,
1,Cereme,Tephra,3.0,10,100.0,,,,26.25,50.97,3.49,,10.28,,,,,,,,,,7,
2,Cereme,Tephra,3.0,50,1.0,,,121.32,590.39,2243.84,92.68,1.03,208.83,51.63,29.23,,0.01,,,,,,7,
3,Cereme,Tephra,3.0,50,100.0,,,,26.25,45.67,3.37,,,,,,,,,,,,7,
4,Cereme,Tephra,3.0,90,1.0,,,109.34,462.16,1621.97,65.31,1.03,180.31,24.13,15.88,,0.01,,,,,,7,
5,Cereme,Tephra,3.0,90,100.0,,,,16.84,35.73,3.29,,,,,,,,,,,,7,
6,Cereme,Tephra,4.0,10,1.0,,,850.11,6705.56,24068.91,2214.61,172.13,1818.6,762.06,477.19,3.79,7.34,1.71,289.87,63.22,1.36,,7,
7,Cereme,Tephra,4.0,10,100.0,,,109.52,476.48,1694.28,72.39,1.03,178.28,34.18,15.88,,0.01,,,,,,7,
