,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Dieng_Volcanic_Complex,LC,3,50.0,,,,252.234,0.0,0.0
0,Dieng_Volcanic_Complex,LC,3,90.0,,,,0.0,0.0,0.0
0,Dieng_Volcanic_Complex,LC,4,10.0,,,,14572.847699999998,8.1972,2.2194
0,Dieng_Volcanic_Complex,LC,4,50.0,,,,7696.7253,6.4314,1.539
0,Dieng_Volcanic_Complex,LC,4,90.0,,,,2848.8185999999996,3.0861,0.5184
0,Dieng_Volcanic_Complex,LC,5,10.0,,,,310621.27050000004,59.3163,27.378
0,Dieng_Volcanic_Complex,LC,5,50.0,,,,297644.71410000004,56.5623,25.4178
0,Dieng_Volcanic_Complex,LC,5,90.0,,,,275493.7899,50.5602,23.4171
0,Galunggung,Tephra,3,10.0,1,,,607747.2849000001,141.8796,77.76
0,Galunggung,Tephra,3,10.0,5,,,67289.1462,43.011,16.7427
0,Galunggung,Tephra,3,10.0,50,,,5020.9065,1.4094,1.2069
0,Galunggung,Tephra,3,10.0,100,,,1993.3452,0.1944,0.0648
0,Galunggung,Tephra,3,50.0,1,,,199187.1891,84.807,40.7349
0,Galunggung,Tephra,3,50.0,5,,,42827.794200000004,27.9531,11.7369
0,Galunggung,Tephra,3,50.0,50,,,2509.8822,0.5427,0.3321
0,Galunggung,Tephra,3,50.0,100,,,1618.1208000000001,0.081,0.0486
0,Galunggung,Tephra,3,90.0,1,,,112543.3278,57.0645,26.811
0,Galunggung,Tephra,3,90.0,5,,,30884.0445,18.9216,9.2016
0,Galunggung,Tephra,3,90.0,50,,,2326.4091,0.4941,0.2511
0,Galunggung,Tephra,3,90.0,100,,,1455.1164,0.0324,0.0405
0,Galunggung,Tephra,4,10.0,1,,,3864489.0372000006,829.035,365.5449
0,Galunggung,Tephra,4,10.0,5,,,1385524.6992,389.0268,176.7339
0,Galunggung,Tephra,4,10.0,50,,,582060.6864,125.5905,69.7815
0,Galunggung,Tephra,4,10.0,100,,,271460.2248,52.6338,31.6224
0,Galunggung,Tephra,4,50.0,1,,,2593653.372,572.5809,247.698
0,Galunggung,Tephra,4,50.0,5,,,1093785.2496000002,272.6784,130.6773
0,Galunggung,Tephra,4,50.0,50,,,413200.13219999993,68.5665,40.014
0,Galunggung,Tephra,4,50.0,100,,,99901.85220000001,26.3736,11.9556
0,Galunggung,Tephra,4,90.0,1,,,1867619.3895,457.0587,203.0913
0,Galunggung,Tephra,4,90.0,5,,,1007424.378,235.4346,120.5604
0,Galunggung,Tephra,4,90.0,50,,,242320.7907,44.5176,27.6453
0,Galunggung,Tephra,4,90.0,100,,,38664.0135,13.7781,5.5809
0,Galunggung,Tephra,5,10.0,1,,,18633352.071600024,3444.12,1780.5015
0,Galunggung,Tephra,5,10.0,5,,,11825655.434100004,1685.1969,978.3585
0,Galunggung,Tephra,5,10.0,50,,,2218579.5104999994,544.4739,227.5614
0,Galunggung,Tephra,5,10.0,100,,,1386896.3613000002,356.5944,157.14
0,Galunggung,Tephra,5,50.0,1,,,16018851.00870001,2594.5029,1404.5157
0,Galunggung,Tephra,5,50.0,5,,,8316678.0861,1236.2949,668.4363
0,Galunggung,Tephra,5,50.0,50,,,1528630.8093000003,366.8166,157.8447
0,Galunggung,Tephra,5,50.0,100,,,1016547.3675,241.5663,118.1223
0,Galunggung,Tephra,5,90.0,1,,,14436830.304899992,2268.8181,1219.1391
0,Galunggung,Tephra,5,90.0,5,,,5393957.151600002,953.6535,481.7232
0,Galunggung,Tephra,5,90.0,50,,,1203368.3757000002,287.9064,128.0934
0,Galunggung,Tephra,5,90.0,100,,,917983.3842,198.3447,105.6483
0,Galunggung,BAF,,10.0,,300,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,50.0,,300,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,90.0,,300,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,10.0,,990,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,50.0,,990,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,90.0,,990,9800000,0.0,0.0,0.0
0,Galunggung,BAF,,10.0,,300,450000,0.0,0.0,0.0
0,Galunggung,BAF,,50.0,,300,450000,0.0,0.0,0.0
0,Galunggung,BAF,,90.0,,300,450000,0.0,0.0,0.0
0,Galunggung,BAF,,10.0,,990,450000,0.0,0.0,0.0
0,Galunggung,BAF,,50.0,,990,450000,0.0,0.0,0.0
0,Galunggung,BAF,,90.0,,990,450000,0.0,0.0,0.0
0,Galunggung,PDC,3,10.0,,,,392177.2626,141.9768,80.2224
0,Galunggung,PDC,3,50.0,,,,30117.2256,24.7293,11.9556
0,Galunggung,PDC,3,90.0,,,,3511.3581000000004,2.5758,1.3284
0,Galunggung,PDC,4,10.0,,,,1000186.5987000001,269.5356,165.6936
0,Galunggung,PDC,4,50.0,,,,147169.83150000003,79.947,39.0906
0,Galunggung,PDC,4,90.0,,,,28793.078100000002,23.1498,11.5101
0,Galunggung,PDC,5,10.0,,,,1670367.9384,380.4489,239.8815
0,Galunggung,PDC,5,50.0,,,,407510.31149999995,153.9486,83.5029
0,Galunggung,PDC,5,90.0,,,,61388.0856,46.0971,20.6874
0,Galunggung,LC,3,10.0,,,,174.7899,0.0,0.0
0,Galunggung,LC,3,50.0,,,,29.937600000000003,0.0,0.0
0,Galunggung,LC,3,90.0,,,,0.0,0.0,0.0
0,Galunggung,LC,4,10.0,,,,2095.4781000000003,0.2349,0.0891
0,Galunggung,LC,4,50.0,,,,1516.2714,0.0,0.0324
0,Galunggung,LC,4,90.0,,,,1074.6108000000002,0.0,0.0081
0,Galunggung,LC,5,10.0,,,,137451.52440000002,83.3409,37.2033
0,Galunggung,LC,5,50.0,,,,108563.6439,71.8956,30.9663
0,Galunggung,LC,5,90.0,,,,85127.88149999999,57.4209,24.8022
0,Gede-Pangrango,Tephra,3,10.0,1,,,529789.2075000001,139.4496,108.0459
0,Gede-Pangrango,Tephra,3,10.0,5,,,26011.3356,28.1718,11.6802
0,Gede-Pangrango,Tephra,3,10.0,50,,,193.16070000000002,0.8667,0.0081
0,Gede-Pangrango,Tephra,3,10.0,100,,,42.64650000000001,0.2106,0.0
0,Gede-Pangrango,Tephra,3,50.0,1,,,336467.6577,96.3171,70.2432
0,Gede-Pangrango,Tephra,3,50.0,5,,,12630.0303,15.2523,5.7186
0,Gede-Pangrango,Tephra,3,50.0,50,,,124.77240000000003,0.6561,0.0
0,Gede-Pangrango,Tephra,3,50.0,100,,,0.0,0.0405,0.0
0,Gede-Pangrango,Tephra,3,90.0,1,,,220490.9505,76.3425,46.8423
0,Gede-Pangrango,Tephra,3,90.0,5,,,8415.1386,10.8945,4.2525
0,Gede-Pangrango,Tephra,3,90.0,50,,,105.02460000000002,0.5913,0.0
0,Gede-Pangrango,Tephra,3,90.0,100,,,0.0,0.0405,0.0
0,Gede-Pangrango,Tephra,4,10.0,1,,,3498824.8889999995,620.3061,459.2457
0,Gede-Pangrango,Tephra,4,10.0,5,,,1558130.5880999996,350.244,250.6059
0,Gede-Pangrango,Tephra,4,10.0,50,,,348272.4033,118.0899,81.7533
0,Gede-Pangrango,Tephra,4,10.0,100,,,106391.1429,59.2353,36.9846
0,Gede-Pangrango,Tephra,4,50.0,1,,,2319588.8271,456.7023,319.2291
