,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban,RNDS,buildingsLoss,month
36,Cereme,Tephra,5.0,50,1.0,,,58011437.0,11764.0,5957.0,,,3
37,Cereme,Tephra,5.0,50,5.0,,,25668878.0,7532.0,2885.0,,,3
38,Cereme,Tephra,5.0,50,50.0,,,9832003.0,2127.0,1074.0,,,3
39,Cereme,Tephra,5.0,50,100.0,,,4380519.0,1364.0,546.0,,,3
40,Cereme,Tephra,5.0,90,,,,,,,522978327.1,610.02,3
41,Cereme,Tephra,5.0,90,1.0,,,52764878.0,10350.0,5530.0,,,3
42,Cereme,Tephra,5.0,90,5.0,,,18914789.0,5766.0,2158.0,,,3
43,Cereme,Tephra,5.0,90,50.0,,,4579795.0,1525.0,566.0,,,3
44,Cereme,Tephra,5.0,90,100.0,,,2379745.0,918.0,299.0,,,3
0,Cereme,Tephra,3.0,10,,,,,,,3357271.5,0.3,4
1,Cereme,Tephra,3.0,10,1.0,,,1291028.0,491.0,199.0,,,4
2,Cereme,Tephra,3.0,10,5.0,,,230988.0,143.0,59.0,,,4
3,Cereme,Tephra,3.0,10,50.0,,,5171.0,11.0,4.0,,,4
4,Cereme,Tephra,3.0,10,100.0,,,1600.0,3.0,1.0,,,4
5,Cereme,Tephra,3.0,50,,,,,,,2325162.7,0.24,4
6,Cereme,Tephra,3.0,50,1.0,,,814664.0,387.0,137.0,,,4
7,Cereme,Tephra,3.0,50,5.0,,,120676.0,101.0,37.0,,,4
8,Cereme,Tephra,3.0,50,50.0,,,4178.0,9.0,3.0,,,4
9,Cereme,Tephra,3.0,50,100.0,,,1159.0,3.0,1.0,,,4
10,Cereme,Tephra,3.0,90,,,,,,,1447384.5,0.18,4
11,Cereme,Tephra,3.0,90,1.0,,,463116.0,277.0,95.0,,,4
12,Cereme,Tephra,3.0,90,5.0,,,69411.0,60.0,25.0,,,4
13,Cereme,Tephra,3.0,90,50.0,,,3092.0,7.0,2.0,,,4
14,Cereme,Tephra,3.0,90,100.0,,,642.0,1.0,1.0,,,4
15,Cereme,Tephra,4.0,10,,,,,,,86167959.2,48.49,4
16,Cereme,Tephra,4.0,10,1.0,,,12836502.0,3530.0,1487.0,,,4
17,Cereme,Tephra,4.0,10,5.0,,,4588818.0,1679.0,628.0,,,4
18,Cereme,Tephra,4.0,10,50.0,,,880295.0,399.0,152.0,,,4
19,Cereme,Tephra,4.0,10,100.0,,,431008.0,245.0,88.0,,,4
20,Cereme,Tephra,4.0,50,,,,,,,51567582.30000001,31.49,4
21,Cereme,Tephra,4.0,50,1.0,,,8602492.0,2867.0,1128.0,,,4
22,Cereme,Tephra,4.0,50,5.0,,,3233089.0,1225.0,449.0,,,4
23,Cereme,Tephra,4.0,50,50.0,,,534614.0,300.0,103.0,,,4
24,Cereme,Tephra,4.0,50,100.0,,,264316.0,176.0,58.0,,,4
25,Cereme,Tephra,4.0,90,,,,,,,35417857.800000004,19.71,4
26,Cereme,Tephra,4.0,90,1.0,,,5998734.0,2125.0,786.0,,,4
27,Cereme,Tephra,4.0,90,5.0,,,2268685.0,909.0,324.0,,,4
28,Cereme,Tephra,4.0,90,50.0,,,346709.0,221.0,72.0,,,4
29,Cereme,Tephra,4.0,90,100.0,,,152521.0,124.0,38.0,,,4
30,Cereme,Tephra,5.0,10,,,,,,,726098075.7000003,2340.7,4
31,Cereme,Tephra,5.0,10,1.0,,,64423012.0,13923.0,6679.0,,,4
32,Cereme,Tephra,5.0,10,5.0,,,32218277.0,8919.0,3316.0,,,4
33,Cereme,Tephra,5.0,10,50.0,,,12249313.0,2789.0,1418.0,,,4
34,Cereme,Tephra,5.0,10,100.0,,,5819907.0,1772.0,784.0,,,4
35,Cereme,Tephra,5.0,50,,,,,,,574847934.3000003,1323.57,4
36,Cereme,Tephra,5.0,50,1.0,,,58195965.0,12005.0,5860.0,,,4
37,Cereme,Tephra,5.0,50,5.0,,,23256811.0,6794.0,2461.0,,,4
38,Cereme,Tephra,5.0,50,50.0,,,7663441.0,2009.0,908.0,,,4
39,Cereme,Tephra,5.0,50,100.0,,,3527680.0,1250.0,472.0,,,4
40,Cereme,Tephra,5.0,90,,,,,,,318497317.1,537.37,4
41,Cereme,Tephra,5.0,90,1.0,,,37690335.0,9568.0,4168.0,,,4
42,Cereme,Tephra,5.0,90,5.0,,,17122313.0,4987.0,1899.0,,,4
43,Cereme,Tephra,5.0,90,50.0,,,3543695.0,1303.0,471.0,,,4
44,Cereme,Tephra,5.0,90,100.0,,,1997651.0,810.0,276.0,,,4
0,Cereme,Tephra,3.0,10,,,,,,,3942098.0,0.35,5
1,Cereme,Tephra,3.0,10,1.0,,,1624267.0,621.0,268.0,,,5
2,Cereme,Tephra,3.0,10,5.0,,,474682.0,202.0,102.0,,,5
3,Cereme,Tephra,3.0,10,50.0,,,10261.0,15.0,6.0,,,5
4,Cereme,Tephra,3.0,10,100.0,,,2319.0,5.0,2.0,,,5
5,Cereme,Tephra,3.0,50,,,,,,,2317335.0,0.22,5
6,Cereme,Tephra,3.0,50,1.0,,,630480.0,297.0,131.0,,,5
7,Cereme,Tephra,3.0,50,5.0,,,107809.0,73.0,36.0,,,5
8,Cereme,Tephra,3.0,50,50.0,,,3524.0,8.0,2.0,,,5
9,Cereme,Tephra,3.0,50,100.0,,,710.0,2.0,1.0,,,5
10,Cereme,Tephra,3.0,90,,,,,,,759638.0,0.12,5
11,Cereme,Tephra,3.0,90,1.0,,,178438.0,137.0,52.0,,,5
12,Cereme,Tephra,3.0,90,5.0,,,20891.0,23.0,13.0,,,5
13,Cereme,Tephra,3.0,90,50.0,,,1074.0,3.0,1.0,,,5
14,Cereme,Tephra,3.0,90,100.0,,,27.0,0.0,0.0,,,5
15,Cereme,Tephra,4.0,10,,,,,,,92471301.4,80.03,5
16,Cereme,Tephra,4.0,10,1.0,,,13930967.0,4045.0,1532.0,,,5
17,Cereme,Tephra,4.0,10,5.0,,,6129706.0,1970.0,798.0,,,5
18,Cereme,Tephra,4.0,10,50.0,,,1070135.0,460.0,205.0,,,5
19,Cereme,Tephra,4.0,10,100.0,,,650421.0,280.0,138.0,,,5
20,Cereme,Tephra,4.0,50,,,,,,,46024669.5,21.68,5
21,Cereme,Tephra,4.0,50,1.0,,,7711968.0,2486.0,983.0,,,5
22,Cereme,Tephra,4.0,50,5.0,,,2779414.0,1022.0,425.0,,,5
23,Cereme,Tephra,4.0,50,50.0,,,490028.0,229.0,106.0,,,5
24,Cereme,Tephra,4.0,50,100.0,,,237279.0,136.0,57.0,,,5
25,Cereme,Tephra,4.0,90,,,,,,,22522532.500000004,3.4,5
26,Cereme,Tephra,4.0,90,1.0,,,3910885.0,1325.0,563.0,,,5
27,Cereme,Tephra,4.0,90,5.0,,,1025957.0,460.0,211.0,,,5
28,Cereme,Tephra,4.0,90,50.0,,,125577.0,86.0,38.0,,,5
29,Cereme,Tephra,4.0,90,100.0,,,48653.0,35.0,20.0,,,5
30,Cereme,Tephra,5.0,10,,,,,,,795257777.5000002,2725.64,5
31,Cereme,Tephra,5.0,10,1.0,,,64441975.0,14122.0,6579.0,,,5
32,Cereme,Tephra,5.0,10,5.0,,,31596460.0,9216.0,3158.0,,,5
33,Cereme,Tephra,5.0,10,50.0,,,12667272.0,3026.0,1404.0,,,5
34,Cereme,Tephra,5.0,10,100.0,,,7429908.0,2045.0,931.0,,,5
35,Cereme,Tephra,5.0,50,,,,,,,378961571.0,894.02,5
36,Cereme,Tephra,5.0,50,1.0,,,47326197.0,12462.0,5168.0,,,5
37,Cereme,Tephra,5.0,50,5.0,,,22456464.0,6313.0,2183.0,,,5
38,Cereme,Tephra,5.0,50,50.0,,,5572978.0,1742.0,768.0,,,5
39,Cereme,Tephra,5.0,50,100.0,,,2658646.0,1012.0,423.0,,,5
40,Cereme,Tephra,5.0,90,,,,,,,157894026.40000004,312.19,5
41,Cereme,Tephra,5.0,90,1.0,,,26386440.0,7831.0,2621.0,,,5
42,Cereme,Tephra,5.0,90,5.0,,,11895169.0,3474.0,1386.0,,,5
43,Cereme,Tephra,5.0,90,50.0,,,2103755.0,816.0,334.0,,,5
44,Cereme,Tephra,5.0,90,100.0,,,1132228.0,469.0,203.0,,,5
0,Cereme,Tephra,3.0,10,,,,,,,2994504.900000001,0.34,6
1,Cereme,Tephra,3.0,10,1.0,,,1207372.0,520.0,174.0,,,6
2,Cereme,Tephra,3.0,10,5.0,,,267061.0,188.0,58.0,,,6
3,Cereme,Tephra,3.0,10,50.0,,,11667.0,15.0,7.0,,,6
4,Cereme,Tephra,3.0,10,100.0,,,3026.0,7.0,2.0,,,6
5,Cereme,Tephra,3.0,50,,,,,,,2018798.3,0.25,6
6,Cereme,Tephra,3.0,50,1.0,,,813011.0,389.0,124.0,,,6
7,Cereme,Tephra,3.0,50,5.0,,,185162.0,152.0,42.0,,,6
8,Cereme,Tephra,3.0,50,50.0,,,7424.0,14.0,5.0,,,6
9,Cereme,Tephra,3.0,50,100.0,,,2632.0,5.0,2.0,,,6
10,Cereme,Tephra,3.0,90,,,,,,,1612193.4,0.15,6
11,Cereme,Tephra,3.0,90,1.0,,,506255.0,287.0,84.0,,,6
12,Cereme,Tephra,3.0,90,5.0,,,132822.0,114.0,31.0,,,6
13,Cereme,Tephra,3.0,90,50.0,,,4713.0,10.0,4.0,,,6
14,Cereme,Tephra,3.0,90,100.0,,,1628.0,4.0,1.0,,,6
15,Cereme,Tephra,4.0,10,,,,,,,92730568.1,56.12,6
16,Cereme,Tephra,4.0,10,1.0,,,13621882.0,3097.0,1556.0,,,6
17,Cereme,Tephra,4.0,10,5.0,,,6003726.0,1741.0,832.0,,,6
18,Cereme,Tephra,4.0,10,50.0,,,898838.0,410.0,146.0,,,6
19,Cereme,Tephra,4.0,10,100.0,,,441941.0,256.0,81.0,,,6
20,Cereme,Tephra,4.0,50,,,,,,,66807833.89999999,32.1,6
21,Cereme,Tephra,4.0,50,1.0,,,10396250.0,2202.0,1174.0,,,6
22,Cereme,Tephra,4.0,50,5.0,,,3954238.0,1191.0,502.0,,,6
23,Cereme,Tephra,4.0,50,50.0,,,529192.0,284.0,88.0,,,6
24,Cereme,Tephra,4.0,50,100.0,,,266447.0,195.0,53.0,,,6
25,Cereme,Tephra,4.0,90,,,,,,,26685043.1,18.97,6
26,Cereme,Tephra,4.0,90,1.0,,,5359703.0,1601.0,682.0,,,6
27,Cereme,Tephra,4.0,90,5.0,,,1999775.0,793.0,270.0,,,6
28,Cereme,Tephra,4.0,90,50.0,,,296384.0,204.0,58.0,,,6
29,Cereme,Tephra,4.0,90,100.0,,,168252.0,144.0,36.0,,,6
30,Cereme,Tephra,5.0,10,,,,,,,768215307.0000001,4888.98,6
31,Cereme,Tephra,5.0,10,1.0,,,63779462.0,13996.0,6510.0,,,6
32,Cereme,Tephra,5.0,10,5.0,,,28724370.0,8027.0,2792.0,,,6
33,Cereme,Tephra,5.0,10,50.0,,,12094402.0,2450.0,1392.0,,,6
34,Cereme,Tephra,5.0,10,100.0,,,6770045.0,1788.0,923.0,,,6
